iter	Passed	Remaining
938	59204	3846
939	59228	3780
940	59252	3715
941	59277	3649
942	59296	3584
943	59319	3518
944	59339	3453
945	59363	3388
946	59382	3323
947	59404	3258
948	59423	3193
949	59443	3128
950	59465	3063
951	59484	2999
952	59505	2934
953	59526	2870
954	59571	2807
955	59608	2743
956	59652	2680
957	59712	2617
958	59750	2554
959	59787	2491
960	59824	2427
961	59862	2364
962	59908	2301
963	59947	2238
964	60037	2177
965	60079	2114
966	60124	2051
967	60169	1989
968	60212	1926
969	60273	1864
970	60310	1801
971	60365	1738
972	60439	1677
973	60466	1614
974	60503	1551
975	60546	1488
976	60636	1427
977	60717	1365
978	60773	1303
979	60807	1240
980	60823	1178
981	60839	1115
982	60857	1052
983	60876	989
984	60892	927
985	60907	864
986	60919	802
987	60933	740
988	60951	677
989	60975	615
990	60995	553
991	61017	492
992	61032	430
993	61050	368
994	61065	306
995	61080	245
996	61093	183
997	61134	122
998	61149	61
999	61163	0
60
999	60356	0
